"estrato","upm","factor","programa","ingreso","score"
"Alta","A14",1500,1,1678,64
"Alta","A14",1500,0,3011,42
"Alta","A15",1500,1,961,47
"Alta","A15",1500,1,4386,57
"Alta","A15",1500,1,3476,52
"Alta","A15",1500,0,2351,54
"Alta","A15",1500,1,3865,48
"Alta","A15",1500,1,664,63
"Alta","A15",1500,1,6571,58
"Alta","A15",1500,0,500,38
"Alta","A15",1500,1,3943,53
"Alta","A15",1500,1,3111,49
"Alta","A16",1500,0,1894,60
"Alta","A16",1500,1,2300,54
"Alta","A16",1500,1,1283,61
"Alta","A16",1500,1,895,68
"Alta","A16",1500,1,2613,57
"Alta","A16",1500,1,2605,51
"Alta","A16",1500,1,1631,65
"Alta","A16",1500,1,812,58
"Alta","A16",1500,1,2404,59
"Alta","A16",1500,1,1300,66
"Alta","A17",1500,0,9284,31
"Alta","A17",1500,1,8219,53
"Alta","A17",1500,1,8036,57
"Alta","A17",1500,0,6370,42
"Alta","A17",1500,1,5249,51
"Alta","A17",1500,1,7816,60
"Alta","A17",1500,1,5478,55
"Alta","A17",1500,1,10802,54
"Alta","A17",1500,1,7289,57
"Alta","A17",1500,1,7646,52
"Alta","A18",1500,0,5811,43
"Alta","A18",1500,0,7514,51
"Alta","A18",1500,0,12229,34
"Alta","A18",1500,1,11596,46
"Alta","A18",1500,1,8551,56
"Alta","A18",1500,0,4946,49
"Alta","A18",1500,0,7576,41
"Alta","A18",1500,1,6457,46
"Alta","A18",1500,1,6198,63
"Alta","A18",1500,1,10140,62
"Alta","A19",1500,1,7872,63
"Alta","A19",1500,1,4664,55
"Alta","A19",1500,1,4896,54
"Alta","A19",1500,1,6251,56
"Alta","A19",1500,0,3492,41
"Alta","A19",1500,1,4832,55
"Alta","A19",1500,1,3995,60
"Alta","A19",1500,1,7348,56
"Alta","A19",1500,1,6082,65
"Alta","A19",1500,1,5153,51
"Alta","A20",1500,1,2146,60
"Alta","A20",1500,1,4726,47
"Alta","A20",1500,1,2503,66
"Alta","A20",1500,1,3475,58
"Alta","A20",1500,1,2359,59
"Alta","A20",1500,1,4189,66
"Alta","A20",1500,1,2539,60
"Alta","A20",1500,1,4212,73
"Alta","A20",1500,1,2715,55
"Alta","A20",1500,1,6323,60
"Media","M1",3000,1,6971,70
"Media","M1",3000,1,8196,71
"Media","M1",3000,1,6518,86
"Media","M1",3000,1,9073,74
"Media","M1",3000,0,8024,71
"Media","M1",3000,1,8535,69
"Media","M1",3000,0,7380,62
"Media","M1",3000,1,6690,74
"Media","M1",3000,0,9903,69
"Media","M1",3000,0,6419,63
"Media","M2",3000,0,10546,78
"Media","M2",3000,0,8531,62
"Media","M2",3000,1,8421,68
"Media","M2",3000,1,8275,73
"Media","M2",3000,0,9118,59
"Media","M2",3000,1,8961,66
"Media","M2",3000,1,7622,68
"Media","M2",3000,1,9374,71
"Media","M2",3000,1,8936,77
"Media","M2",3000,1,9095,73
"Media","M3",3000,0,5497,54
"Media","M3",3000,0,5769,70
"Media","M3",3000,0,6531,58
"Media","M3",3000,0,5080,57
"Media","M3",3000,0,5447,50
"Media","M3",3000,1,4905,69
"Media","M3",3000,0,5234,54
"Media","M3",3000,0,4189,61
"Media","M3",3000,1,6946,70
"Media","M3",3000,0,6693,64
"Media","M4",3000,1,6679,60
"Media","M4",3000,0,5274,47
"Media","M4",3000,1,3654,64
"Media","M4",3000,0,4955,45
"Media","M4",3000,1,6211,67
"Media","M4",3000,0,6192,45
"Media","M4",3000,0,3930,39
"Media","M4",3000,1,5849,55
"Media","M4",3000,1,4311,58
"Media","M4",3000,0,7106,49
"Media","M5",3000,1,7906,70
"Media","M5",3000,0,4588,59
"Media","M5",3000,1,8680,63
"Media","M5",3000,1,7100,65
"Media","M5",3000,0,3905,52
"Media","M5",3000,1,4366,52
"Media","M5",3000,0,5346,54
"Media","M5",3000,0,5798,54
"Media","M5",3000,0,4431,57
"Media","M5",3000,1,4827,62
"Media","M6",3000,1,7157,55
"Media","M6",3000,0,6697,42
"Media","M6",3000,0,7867,56
"Media","M6",3000,0,8544,47
"Media","M6",3000,1,5431,66
"Media","M6",3000,0,6182,63
"Media","M6",3000,1,5628,70
"Media","M6",3000,0,8364,47
"Media","M6",3000,0,8269,58
"Media","M6",3000,1,6650,58
"Media","M7",3000,1,7023,78
"Media","M7",3000,0,8001,68
"Media","M7",3000,0,7744,57
"Media","M7",3000,1,7628,78
"Media","M7",3000,1,10026,75
"Media","M7",3000,1,7235,77
"Media","M7",3000,1,7568,60
"Media","M7",3000,0,7248,56
"Media","M7",3000,0,10954,59
"Media","M7",3000,1,6499,72
"Media","M8",3000,1,4849,68
"Media","M8",3000,0,8908,56
"Media","M8",3000,1,6317,63
"Media","M8",3000,0,7437,60
"Media","M8",3000,1,7507,72
"Media","M8",3000,0,7907,60
"Media","M8",3000,1,6277,71
"Media","M8",3000,1,6415,69
"Media","M8",3000,0,7564,58
"Media","M8",3000,0,5731,50
"Media","M9",3000,1,7988,89
"Media","M9",3000,0,9873,68
"Media","M9",3000,1,9414,88
"Media","M9",3000,0,8832,64
"Media","M9",3000,0,8434,76
"Media","M9",3000,0,9270,64
"Media","M9",3000,0,9903,64
"Media","M9",3000,0,10940,71
"Media","M9",3000,0,6757,67
"Media","M9",3000,1,7918,72
"Media","M10",3000,0,2048,52
"Media","M10",3000,0,6511,59
"Media","M10",3000,1,3713,65
"Media","M10",3000,1,6865,65
"Media","M10",3000,1,5025,76
"Media","M10",3000,0,3333,59
"Media","M10",3000,0,4027,68
"Media","M10",3000,1,5412,73
"Media","M10",3000,0,8366,62
"Media","M10",3000,1,5900,82
"Baja","B1",4000,1,10381,84
"Baja","B1",4000,0,8918,75
"Baja","B1",4000,0,10274,87
"Baja","B1",4000,0,14690,76
"Baja","B1",4000,1,10913,100
"Baja","B1",4000,1,10354,86
"Baja","B1",4000,0,12782,75
"Baja","B1",4000,1,10160,83
"Baja","B1",4000,0,11556,60
"Baja","B1",4000,0,11622,66
"Baja","B2",4000,1,12109,74
"Baja","B2",4000,0,12819,73
"Baja","B2",4000,0,11918,69
"Baja","B2",4000,0,11510,72
"Baja","B2",4000,0,11450,72
"Baja","B2",4000,0,11288,52
"Baja","B2",4000,0,14055,65
"Baja","B2",4000,0,11877,83
"Baja","B2",4000,0,10477,72
"Baja","B2",4000,0,11060,70
"Baja","B3",4000,0,12456,84
"Baja","B3",4000,0,11223,80
"Baja","B3",4000,0,12299,67
"Baja","B3",4000,1,13388,88
"Baja","B3",4000,0,11780,86
"Baja","B3",4000,0,12830,72
"Baja","B3",4000,0,13156,79
"Baja","B3",4000,0,14213,74
"Baja","B3",4000,0,10378,85
"Baja","B3",4000,0,12980,85
"Baja","B4",4000,0,12426,69
"Baja","B4",4000,0,11941,70
"Baja","B4",4000,1,12808,95
"Baja","B4",4000,0,11814,75
"Baja","B4",4000,0,11611,80
"Baja","B4",4000,0,13897,89
"Baja","B4",4000,0,13821,76
"Baja","B4",4000,0,13498,72
"Baja","B4",4000,0,12405,60
"Baja","B4",4000,0,13701,77
"Baja","B5",4000,0,10692,75
"Baja","B5",4000,0,12148,79
"Baja","B5",4000,0,12251,81
"Baja","B5",4000,0,11831,80
"Baja","B5",4000,0,13838,92
"Baja","B5",4000,0,9056,80
"Baja","B5",4000,0,12647,73
"Baja","B5",4000,1,13566,86
"Baja","B5",4000,0,9856,79
"Baja","B5",4000,0,11940,78
"Baja","B6",4000,0,12956,68
"Baja","B6",4000,0,15378,71
"Baja","B6",4000,0,12794,67
"Baja","B6",4000,1,12700,82
"Baja","B6",4000,0,10733,86
"Baja","B6",4000,0,13268,69
"Baja","B6",4000,0,12666,71
"Baja","B6",4000,0,15150,66
"Baja","B6",4000,0,10014,77
"Baja","B6",4000,0,11681,63
"Baja","B7",4000,0,11224,69
"Baja","B7",4000,0,12938,72
"Baja","B7",4000,0,11338,77
"Baja","B7",4000,0,10989,70
"Baja","B7",4000,0,11478,76
"Baja","B7",4000,0,9729,78
"Baja","B7",4000,0,9230,86
"Baja","B7",4000,0,12004,73
"Baja","B7",4000,0,9999,79
"Baja","B7",4000,1,11794,91
"Baja","B8",4000,0,16482,86
"Baja","B8",4000,0,15674,86
"Baja","B8",4000,1,14736,93
"Baja","B8",4000,0,16111,76
"Baja","B8",4000,0,16783,83
"Baja","B8",4000,0,16447,83
"Baja","B8",4000,1,13836,86
"Baja","B8",4000,0,13105,89
"Baja","B8",4000,0,15179,85
"Baja","B8",4000,1,13669,96
"Baja","B9",4000,0,12184,73
"Baja","B9",4000,1,14583,91
"Baja","B9",4000,1,12413,87
"Baja","B9",4000,1,12584,86
"Baja","B9",4000,0,16516,82
"Baja","B9",4000,0,12964,83
"Baja","B9",4000,0,13558,83
"Baja","B9",4000,0,9693,90
"Baja","B9",4000,0,13116,79
"Baja","B9",4000,0,12920,82
"Baja","B10",4000,0,14225,87
"Baja","B10",4000,0,13482,76
"Baja","B10",4000,0,11401,88
"Baja","B10",4000,1,12715,100
"Baja","B10",4000,0,12119,81
"Baja","B10",4000,1,11180,85
"Baja","B10",4000,0,13584,75
"Baja","B10",4000,1,11333,86
"Baja","B10",4000,0,12549,83
"Baja","B10",4000,0,13215,88
